date,open,high,low,close,volume,return,ma5,ma10,ma20,ma60,volume_change,volatility,rsi,macd,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength
2026-06-01,32.6,33.47,32.52,33.28,839829.0,0.018359853121175,33.086,34.325,36.5435,39.81516666666666,0.0028934590867513,0.0182209420507556,19.275825346112956,-2.165586655830694,其他,0,0,0.5,1.0,0
2026-06-02,33.28,33.45,32.37,32.62,905483.0,-0.0198317307692308,32.866,33.918,36.181,39.681,0.078175438095136,0.0180698066166631,17.8464606181456,-2.1750472382780472,其他,0,0,0.5,1.0,0
2026-06-03,32.6,32.69,31.56,31.73,1017302.0,-0.0272838749233598,32.666000000000004,33.511,35.809,39.5335,0.1234909987266463,0.0184163222331559,18.04435483870972,-2.228669663405995,其他,0,0,0.5,1.0,0
2026-06-04,31.87,31.87,31.25,31.59,810600.0,-0.0044122281752284,32.38,33.151,35.438,39.370000000000005,-0.2031864677352448,0.018410635836487,19.60569550931001,-2.2564516812309634,其他,0,0,0.5,1.0,0
2026-06-05,31.51,32.04,31.21,31.67,748529.0,0.0025324469768914,32.178,32.739000000000004,35.016,39.211000000000006,-0.076574142610412,0.0163644246195666,22.1040189125296,-2.2461219039572957,其他,0,0,0.5,1.0,0
2026-06-08,31.64,31.93,30.22,30.48,1054687.0,-0.0375749921060941,31.618,32.352,34.553,39.022666666666666,0.4090128772565926,0.0173449655310105,16.79144385026747,-2.307360717729118,其他,0,0,0.5,1.0,0
2026-06-09,30.61,30.86,30.22,30.56,900600.0,0.0026246719160103,31.206,32.035999999999994,34.1285,38.837833333333336,-0.1460973729646805,0.0176553747421754,19.32084309133498,-2.322663369912412,其他,0,0,0.5,1.0,0
2026-06-10,30.6,30.73,30.08,30.41,651400.0,-0.0049083769633507,30.942,31.804,33.6955,38.64483333333333,-0.2767044192760381,0.0174935182297175,20.420792079208,-2.3201493410541616,其他,0,0,0.5,1.0,0
2026-06-11,30.56,31.08,29.88,30.4,868354.0,-0.0003288391976323,30.704,31.541999999999994,33.312,38.456,0.3330580288609148,0.0173952287148417,14.018691588785115,-2.2925369327913856,其他,0,0,0.5,1.0,0
2026-06-12,30.64,31.08,30.42,30.97,1128819.0,0.01875,30.564,31.371,33.0035,38.2715,0.2999525539123444,0.0183020481496404,24.471299093655645,-2.1993074171120988,其他,0,0,0.5,1.0,0
2026-06-15,31.35,32.18,31.21,31.84,1414789.0,0.028091701646755,30.836,31.227,32.776,38.06316666666667,0.2533355657550058,0.019850569141046,36.297376093294496,-2.031799307481755,其他,0,0,0.5,1.0,0
2026-06-16,31.52,31.52,30.71,30.88,899826.0,-0.0301507537688442,30.9,31.053,32.4855,37.8415,-0.3639857250798529,0.0202063027946378,36.456808199121575,-1.9539875485693017,其他,0,0,0.5,1.0,0
2026-06-17,30.91,30.98,30.27,30.44,699413.0,-0.0142487046632123,30.906,30.924,32.2175,37.62633333333334,-0.2227241711175271,0.0199144129655135,31.518624641833824,-1.9058559705202924,其他,0,0,0.5,1.0,0
2026-06-18,30.46,31.13,30.05,30.37,846488.0,-0.0022996057818659,30.9,30.802,31.9765,37.44916666666667,0.2102834805758542,0.0198304517142518,32.78688524590166,-1.8520109339232569,其他,0,0,0.5,1.0,0
2026-06-22,30.36,30.53,29.24,30.24,1158974.0,-0.0042805400065855,30.754,30.659,31.699,37.32033333333333,0.3691558533611818,0.0190173270719728,25.641025641025635,-1.799089484350958,其他,0,0,0.5,1.0,0
2026-06-23,30.25,30.84,30.03,30.55,976321.0,0.0102513227513227,30.496,30.666000000000004,31.509,37.17016666666667,-0.1575988762474395,0.0178590679873465,32.427843803056064,-1.712395021189174,其他,0,0,0.5,1.0,0
2026-06-24,30.28,30.6,29.41,29.6,906313.0,-0.0310965630114565,30.24,30.570000000000004,31.303,37.002500000000005,-0.071705924588327,0.0185489974520726,32.10084033613448,-1.7007410113480077,其他,0,0,0.5,1.0,0
2026-06-25,29.44,29.59,28.51,28.87,880577.0,-0.0246621621621622,29.926,30.416,31.11,36.8295,-0.0283963707902237,0.0182696931527375,29.204892966360887,-1.7304623311437055,其他,0,0,0.5,1.0,0
2026-06-26,28.55,28.69,28.05,28.06,743161.0,-0.028056806373398,29.464,30.182,30.862,36.63983333333333,-0.1560522248480258,0.0185420549563167,25.171939477303997,-1.7986432816258713,其他,0,0,0.5,1.0,0
2026-06-29,28.15,28.45,27.2,28.32,885412.0,0.0092658588738419,29.08,29.917,30.644,36.45766666666667,0.1914134353121328,0.0189233126618649,32.9652996845426,-1.810823305147505,其他,0,0,0.5,1.0,0
2026-06-30,28.27,28.7,27.74,28.31,757387.0,-0.0003531073446327,28.632,29.564,30.3955,36.283166666666666,-0.1445937032703419,0.0180477142359526,32.0574162679426,-1.800527616394966,其他,0,0,0.5,1.0,0
2026-07-01,28.05,29.49,28.05,29.2,1030036.0,0.0314376545390322,28.552,29.396000000000004,30.2245,36.11116666666667,0.3599863742049969,0.0198178482325036,41.3694721825963,-1.7009452093507278,其他,0,0,0.5,1.0,0
2026-07-02,29.18,29.69,29.08,29.17,632216.0,-0.0010273972602738,28.612,29.269,30.0965,35.93133333333333,-0.3862195107743806,0.0191456122103824,41.25177809388339,-1.6059339763747469,其他,0,0,0.5,1.0,0
2026-07-03,29.01,29.97,29.0,29.74,698600.0,0.0195406239286937,28.948,29.206,30.004,35.78,0.105002087894011,0.0198559394023868,41.25177809388336,-1.4677236488137986,其他,0,0,0.5,1.0,0
2026-07-06,29.81,30.08,29.53,29.72,555186.0,-0.0006724949562878,29.228,29.154000000000003,29.9065,35.61299999999999,-0.2052877182937302,0.0198233352391934,32.847896440129446,-1.3443084503109013,其他,0,0,0.5,1.0,0
2026-07-07,29.71,29.71,28.77,28.79,528438.0,-0.0312920592193808,29.324,28.978,29.822000000000003,35.41499999999999,-0.0481784483038116,0.0192889048137658,33.00813008130082,-1.3064839107395656,其他,0,0,0.5,1.0,0
2026-07-08,28.77,28.89,28.44,28.51,415437.0,-0.0097255991663771,29.186,28.869,29.7195,35.214166666666664,-0.2138396557401246,0.019308134855548,33.889816360601,-1.2842967767649895,其他,0,0,0.5,1.0,0
2026-07-09,28.57,28.6,27.58,28.04,577832.0,-0.0164854437039636,28.96,28.786,29.601,35.00033333333333,0.3909016288871718,0.019531507696506,31.768388106416268,-1.2897707113801822,其他,0,0,0.5,1.0,0
2026-07-10,28.03,28.66,27.6,28.15,722165.0,0.0039229671897289,28.642000000000003,28.795000000000005,29.4885,34.7745,0.249783674147503,0.0195950831890093,33.59497645211931,-1.2705862360914502,其他,0,0,0.5,1.0,0
2026-07-13,28.15,28.32,27.33,27.34,580733.0,-0.0287744227353463,28.166,28.697,29.307,34.5395,-0.1958444399825524,0.0196167134843745,26.637554585152813,-1.3056914336733136,其他,0,0,0.5,1.0,0
2026-07-14,27.4,28.12,27.01,28.0,512095.0,0.024140453547915,28.008000000000003,28.666,29.115,34.276666666666664,-0.1181920090644065,0.0192718399686945,37.84194528875378,-1.265666258745444,其他,0,0,0.5,1.0,0
2026-07-15,27.94,28.46,27.93,28.34,642047.0,0.0121428571428572,27.974,28.579999999999995,28.988,34.021166666666666,0.2537654146203341,0.0188239124800673,45.71890145395798,-1.192761449229362,其他,0,0,0.5,1.0,0
2026-07-16,28.3,29.11,28.09,28.87,816277.0,0.0187014820042343,28.14,28.55,28.9095,33.74133333333334,0.2713664264454161,0.0193254395609845,56.85279187817262,-1.0797703711272533,其他,0,0,0.5,1.0,0
2026-07-17,28.58,29.4,28.2,28.34,720300.0,-0.0183581572566678,28.178000000000004,28.410000000000004,28.808,33.454,-0.1175789591033436,0.019649044443744,50.16181229773463,-1.0212187245101916,其他,0,0,0.5,1.0,0
2026-07-20,28.35,28.95,27.5,27.9,810026.0,-0.0155257586450247,28.29,28.228,28.691000000000003,33.17066666666667,0.1245675413022351,0.0198394801124852,46.89863842662632,-0.9988068221804696,其他,0,0,0.5,1.0,0
2026-07-21,27.9,28.07,27.36,27.79,691856.0,-0.0039426523297491,28.248,28.128,28.553000000000004,32.89733333333333,-0.1458842061859743,0.0195611215824588,37.90737564322469,-0.9786401542904528,其他,0,0,0.5,1.0,0
2026-07-22,27.7,27.86,27.18,27.44,623200.0,-0.0125944584382871,28.068,28.021,28.445,32.624833333333335,-0.0992345227908697,0.0186556853066861,35.934959349593484,-0.9796076919345644,其他,0,0,0.5,1.0,0
2026-07-23,27.25,28.12,27.22,28.1,693626.0,0.0240524781341107,27.914,28.027,28.4065,32.35033333333333,0.1130070603337611,0.0189411811328258,36.85897435897438,-0.9165525411778468,其他,0,0,0.5,1.0,0
2026-07-24,27.74,28.06,27.31,27.39,561562.0,-0.0252669039145907,27.724,27.951,28.373,32.138333333333335,-0.1903965537624021,0.0187420532829437,33.1890331890332,-0.9133434909704156,其他,0,0,0.5,1.0,0
